"participant","condition","IAT_condition","block_order","task_order","gender","age","mean_rating","IAT_D1","IAT_mean_RT","IAT_perc_acc","IAT_exclude_based_on_fast_trials","percentage.Hit","percentage.FA","d","c","shooter_mean_RT","shooter_perc_acc","modern_racism_scale_total"
909556138,2,"Race IAT","incongruent","ratings first","female",39,4.33,0.694,685,0.98,FALSE,0.975,0.026,3.909,-0.005,630,0.97,18
915306710,6,"Flowers-Insects IAT","incongruent","ratings first","female",29,4,1.169,916,1,FALSE,0.974,0.025,3.898,0.011,618,0.97,15
935323645,5,"Flowers-Insects IAT","congruent","ratings first","female",NA,4.33,1.1,898,0.93,FALSE,0.649,0.364,0.73,-0.016,502,0.64,14
937860201,1,"Race IAT","congruent","ratings first","female",20,6,-0.233,731,0.98,FALSE,0.925,0.103,2.707,-0.086,639,0.91,12
942206850,2,"Race IAT","incongruent","ratings first","female",45,6,0.238,1284,0.88,FALSE,0.923,0.054,3.033,0.09,674,0.93,23
942657512,8,"Flowers-Insects IAT","incongruent","SCIAT first","female",22,3.67,0.825,756,0.87,FALSE,0.897,0.051,2.9,0.183,608,0.92,17
942733821,5,"Flowers-Insects IAT","congruent","ratings first","male",23,3.5,-0.476,261,0.53,TRUE,0.923,0.053,3.046,0.097,615,0.94,19
944683843,3,"Race IAT","congruent","SCIAT first","female",27,3.5,0.04,687,0.88,FALSE,0.975,0.051,3.593,-0.164,627,0.96,18
954456004,4,"Race IAT","incongruent","SCIAT first","female",35,4,0.179,784,0.92,FALSE,0.714,0.152,1.596,0.232,627,0.78,12
955145745,1,"Race IAT","congruent","ratings first","male",59,5.33,0.199,1054,0.99,FALSE,0.973,0.125,3.077,-0.388,659,0.93,17
956843913,1,"Race IAT","congruent","ratings first","female",58,5,0.296,966,0.98,FALSE,0.943,0.033,3.413,0.127,748,0.95,17
957598724,4,"Race IAT","incongruent","SCIAT first","male",53,4.67,0.197,797,0.99,FALSE,0.974,0.006,4.436,0.28,670,0.99,18
959977279,7,"Flowers-Insects IAT","congruent","SCIAT first","female",26,4,1.257,784,0.84,FALSE,0.897,0.051,2.9,0.183,593,0.92,20
962627857,1,"Race IAT","congruent","ratings first","female",40,5,0.664,821,0.98,FALSE,0.944,0.081,2.991,-0.098,621,0.93,21
962810244,4,"Race IAT","incongruent","SCIAT first","female",38,4,-0.217,767,0.91,FALSE,0.917,0.027,3.309,0.272,671,0.95,17
966998928,8,"Flowers-Insects IAT","incongruent","SCIAT first","male",19,4,0.952,778,0.97,FALSE,0.949,0.077,3.059,-0.103,612,0.94,16
971096856,8,"Flowers-Insects IAT","incongruent","SCIAT first","female",43,4.17,1.03,819,0.95,FALSE,0.821,0.029,2.807,0.486,649,0.89,12
982397589,5,"Flowers-Insects IAT","congruent","ratings first","male",50,4,0.26,818,0.99,FALSE,0.875,0.222,1.915,-0.193,630,0.83,23
983422513,1,"Race IAT","congruent","ratings first","male",30,4.67,0.14,950,0.92,FALSE,0.95,0.077,3.071,-0.109,628,0.94,21
983434691,3,"Race IAT","congruent","SCIAT first","female",32,4,-0.299,805,0.97,FALSE,0.9,0.211,2.086,-0.238,562,0.85,17
986250624,8,"Flowers-Insects IAT","incongruent","SCIAT first","male",53,3.33,0.851,861,0.98,FALSE,0.917,0.081,2.781,0.007,665,0.92,19
986991006,6,"Flowers-Insects IAT","incongruent","ratings first","male",54,4,0.681,1536,0.98,FALSE,0.846,0.079,2.432,0.196,642,0.88,19
991310004,4,"Race IAT","incongruent","SCIAT first","female",34,4,0.813,724,0.89,FALSE,0.921,0.077,2.838,0.007,627,0.92,13
992967929,1,"Race IAT","congruent","ratings first","female",41,5,-0.095,821,0.97,FALSE,0.825,0.184,1.834,-0.018,597,0.82,15
995011576,8,"Flowers-Insects IAT","incongruent","SCIAT first","female",31,6,0.848,671,0.98,FALSE,0.925,0.025,3.399,0.26,587,0.95,19
