"subject","trialcode","values.itemnumber","correct","values.result","latency","Item","gun","Ethnicity","date","age_response","sex_response"
2,"GunBlack",16,1,"Hit",569,"bg16d","Gun","Arab-Muslim",102015,21,"männlich"
2,"ObjectBlack",1,0,"Noresponse",850,"bg01c","Object","Arab-Muslim",102015,21,"männlich"
2,"ObjectWhite",8,1,"CR",730,"bg08a","Object","White",102015,21,"männlich"
2,"ObjectBlack",9,1,"CR",599,"bg09c","Object","Arab-Muslim",102015,21,"männlich"
2,"GunWhite",6,1,"Hit",584,"bg06b","Gun","White",102015,21,"männlich"
2,"GunBlack",14,1,"Hit",552,"bg14d","Gun","Arab-Muslim",102015,21,"männlich"
2,"ObjectBlack",16,1,"CR",688,"bg16c","Object","Arab-Muslim",102015,21,"männlich"
2,"ObjectWhite",12,1,"CR",675,"bg12a","Object","White",102015,21,"männlich"
2,"ObjectBlack",4,1,"CR",669,"bg04c","Object","Arab-Muslim",102015,21,"männlich"
2,"GunBlack",19,1,"Hit",542,"bg19d","Gun","Arab-Muslim",102015,21,"männlich"
2,"ObjectBlack",18,1,"CR",630,"bg18c","Object","Arab-Muslim",102015,21,"männlich"
2,"ObjectWhite",1,1,"CR",531,"bg01a","Object","White",102015,21,"männlich"
5,"ObjectBlack",19,0,"Noresponse",850,"bg19c","Object","Arab-Muslim",102015,25,"männlich"
5,"GunWhite",1,1,"Hit",560,"bg01b","Gun","White",102015,25,"männlich"
5,"ObjectWhite",11,1,"CR",597,"bg11a","Object","White",102015,25,"männlich"
5,"ObjectWhite",16,1,"CR",632,"bg16a","Object","White",102015,25,"männlich"
5,"ObjectBlack",15,1,"CR",556,"bg15c","Object","Arab-Muslim",102015,25,"männlich"
5,"GunBlack",15,0,"Miss",589,"bg15d","Gun","Arab-Muslim",102015,25,"männlich"
5,"GunWhite",9,1,"Hit",557,"bg09b","Gun","White",102015,25,"männlich"
5,"GunBlack",9,1,"Hit",546,"bg09d","Gun","Arab-Muslim",102015,25,"männlich"
5,"GunBlack",1,1,"Hit",517,"bg01d","Gun","Arab-Muslim",102015,25,"männlich"
5,"ObjectWhite",14,0,"FA",641,"bg14a","Object","White",102015,25,"männlich"
5,"ObjectBlack",5,1,"CR",686,"bg05c","Object","Arab-Muslim",102015,25,"männlich"
5,"ObjectBlack",6,1,"CR",710,"bg06c","Object","Arab-Muslim",102015,25,"männlich"
5,"GunBlack",6,1,"Hit",696,"bg06d","Gun","Arab-Muslim",102015,25,"männlich"
5,"GunBlack",7,1,"Hit",665,"bg07d","Gun","Arab-Muslim",102015,25,"männlich"
