"participant","block","trial_n","rt","accuracy","IAT_condition","block_order","task_order","gender","age","modern_racism_scale_total","IAT_exclude_based_on_fast_trials","SCIAT_exclude_based_on_fast_trials"
104,"incompatible",49,590,1,"Flowers-Insects IAT","incongruent","SCIAT first","male",37,16,FALSE,FALSE
104,"incompatible",50,908,0,"Flowers-Insects IAT","incongruent","SCIAT first","male",37,16,FALSE,FALSE
104,"incompatible",51,928,0,"Flowers-Insects IAT","incongruent","SCIAT first","male",37,16,FALSE,FALSE
104,"incompatible",52,830,1,"Flowers-Insects IAT","incongruent","SCIAT first","male",37,16,FALSE,FALSE
104,"incompatible",53,664,1,"Flowers-Insects IAT","incongruent","SCIAT first","male",37,16,FALSE,FALSE
104,"incompatible",54,550,1,"Flowers-Insects IAT","incongruent","SCIAT first","male",37,16,FALSE,FALSE
104,"incompatible",55,474,1,"Flowers-Insects IAT","incongruent","SCIAT first","male",37,16,FALSE,FALSE
104,"incompatible",56,597,1,"Flowers-Insects IAT","incongruent","SCIAT first","male",37,16,FALSE,FALSE
104,"incompatible",57,624,1,"Flowers-Insects IAT","incongruent","SCIAT first","male",37,16,FALSE,FALSE
104,"incompatible",58,419,1,"Flowers-Insects IAT","incongruent","SCIAT first","male",37,16,FALSE,FALSE
104,"incompatible",59,902,0,"Flowers-Insects IAT","incongruent","SCIAT first","male",37,16,FALSE,FALSE
104,"incompatible",60,553,1,"Flowers-Insects IAT","incongruent","SCIAT first","male",37,16,FALSE,FALSE
104,"incompatible",61,460,1,"Flowers-Insects IAT","incongruent","SCIAT first","male",37,16,FALSE,FALSE
104,"incompatible",62,568,1,"Flowers-Insects IAT","incongruent","SCIAT first","male",37,16,FALSE,FALSE
104,"incompatible",63,454,1,"Flowers-Insects IAT","incongruent","SCIAT first","male",37,16,FALSE,FALSE
104,"incompatible",64,606,1,"Flowers-Insects IAT","incongruent","SCIAT first","male",37,16,FALSE,FALSE
104,"incompatible",65,661,1,"Flowers-Insects IAT","incongruent","SCIAT first","male",37,16,FALSE,FALSE
104,"incompatible",66,693,1,"Flowers-Insects IAT","incongruent","SCIAT first","male",37,16,FALSE,FALSE
104,"incompatible",67,528,1,"Flowers-Insects IAT","incongruent","SCIAT first","male",37,16,FALSE,FALSE
104,"incompatible",68,626,1,"Flowers-Insects IAT","incongruent","SCIAT first","male",37,16,FALSE,FALSE
104,"incompatible",69,523,1,"Flowers-Insects IAT","incongruent","SCIAT first","male",37,16,FALSE,FALSE
104,"incompatible",70,655,1,"Flowers-Insects IAT","incongruent","SCIAT first","male",37,16,FALSE,FALSE
104,"compatible",1,3074,1,"Flowers-Insects IAT","incongruent","SCIAT first","male",37,16,FALSE,FALSE
104,"compatible",2,1894,1,"Flowers-Insects IAT","incongruent","SCIAT first","male",37,16,FALSE,FALSE
104,"compatible",3,1763,1,"Flowers-Insects IAT","incongruent","SCIAT first","male",37,16,FALSE,FALSE
104,"compatible",4,698,1,"Flowers-Insects IAT","incongruent","SCIAT first","male",37,16,FALSE,FALSE
104,"compatible",5,662,1,"Flowers-Insects IAT","incongruent","SCIAT first","male",37,16,FALSE,FALSE
104,"compatible",6,524,1,"Flowers-Insects IAT","incongruent","SCIAT first","male",37,16,FALSE,FALSE
104,"compatible",7,523,1,"Flowers-Insects IAT","incongruent","SCIAT first","male",37,16,FALSE,FALSE
104,"compatible",8,1246,0,"Flowers-Insects IAT","incongruent","SCIAT first","male",37,16,FALSE,FALSE
104,"compatible",9,880,1,"Flowers-Insects IAT","incongruent","SCIAT first","male",37,16,FALSE,FALSE
104,"compatible",10,1228,1,"Flowers-Insects IAT","incongruent","SCIAT first","male",37,16,FALSE,FALSE
104,"compatible",11,813,1,"Flowers-Insects IAT","incongruent","SCIAT first","male",37,16,FALSE,FALSE
104,"compatible",12,694,1,"Flowers-Insects IAT","incongruent","SCIAT first","male",37,16,FALSE,FALSE
104,"compatible",13,687,1,"Flowers-Insects IAT","incongruent","SCIAT first","male",37,16,FALSE,FALSE
104,"compatible",14,583,1,"Flowers-Insects IAT","incongruent","SCIAT first","male",37,16,FALSE,FALSE
104,"compatible",15,549,1,"Flowers-Insects IAT","incongruent","SCIAT first","male",37,16,FALSE,FALSE
104,"compatible",16,497,1,"Flowers-Insects IAT","incongruent","SCIAT first","male",37,16,FALSE,FALSE
104,"compatible",17,529,1,"Flowers-Insects IAT","incongruent","SCIAT first","male",37,16,FALSE,FALSE
104,"compatible",18,658,1,"Flowers-Insects IAT","incongruent","SCIAT first","male",37,16,FALSE,FALSE
104,"compatible",19,541,1,"Flowers-Insects IAT","incongruent","SCIAT first","male",37,16,FALSE,FALSE
