"participant","complete","amp_recognition_response","gender","age","modern_racism_scale_total","mean_rating","IAT_mean_RT","IAT_perc_acc","IAT_exclude_based_on_fast_trials","AMP_mean_RT","AMP_perc_acc","AMP_neutral_perc_acc","AMP_race_perc_acc","AMP_diff","exclude","condition","IAT_condition","block_order","task_order"
229,TRUE,"I don't know","male",22,16,3.83,874,0.97,FALSE,130,0.48,0.4,0.56,0.16,FALSE,5,"Flowers-Insects IAT","congruent","ratings first"
230,TRUE,"Only black faces","female ",26,13,4,793,0.96,FALSE,845,0.74,0.72,0.76,0.04,FALSE,6,"Flowers-Insects IAT","incongruent","ratings first"
231,TRUE,"Only black faces","male",44,23,4,914,0.93,FALSE,436,0.63,0.7,0.56,-0.14,FALSE,7,"Flowers-Insects IAT","congruent","SCIAT first"
236,TRUE,"Only black faces","male",30,22,2,732,0.92,FALSE,356,0.49,0.64,0.34,-0.3,FALSE,4,"Race IAT","incongruent","SCIAT first"
237,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,5,"Flowers-Insects IAT","congruent","ratings first"
240,TRUE,"Only black faces","female",23,18,4.33,767,0.95,FALSE,544,0.88,0.86,0.9,0.04,FALSE,8,"Flowers-Insects IAT","incongruent","SCIAT first"
241,TRUE,"Only black faces","male",22,19,3.83,612,0.91,FALSE,485,0.61,0.6,0.62,0.02,FALSE,1,"Race IAT","congruent","ratings first"
242,TRUE,"Only black faces","male",37,14,4.17,794,0.92,FALSE,651,0.58,0.48,0.68,0.2,FALSE,2,"Race IAT","incongruent","ratings first"
245,TRUE,"Both white and black faces","female",22,18,3.33,736,0.98,FALSE,570,0.77,0.74,0.8,0.0600000000000001,FALSE,5,"Flowers-Insects IAT","congruent","ratings first"
246,TRUE,"Only black faces","female",59,19,4.33,876,0.99,FALSE,551,0.69,0.76,0.62,-0.14,FALSE,6,"Flowers-Insects IAT","incongruent","ratings first"
248,TRUE,"I don't know","female",44,19,4.33,806,0.99,FALSE,687,0.6,0.6,0.6,0,FALSE,8,"Flowers-Insects IAT","incongruent","SCIAT first"
250,TRUE,"Only black faces","male",27,24,3,803,0.9,FALSE,234,0.47,0.8,0.14,-0.66,FALSE,2,"Race IAT","incongruent","ratings first"
253,TRUE,"Only black faces","male",33,24,3.33,816,0.98,FALSE,583,0.24,0.22,0.26,0.04,FALSE,5,"Flowers-Insects IAT","congruent","ratings first"
255,TRUE,"Only black faces","male",52,22,6,771,0.95,FALSE,376,1,1,1,0,FALSE,7,"Flowers-Insects IAT","congruent","SCIAT first"
257,TRUE,"Only black faces","male",22,14,4,664,0.96,FALSE,451,0.72,0.76,0.68,-0.08,FALSE,1,"Race IAT","congruent","ratings first"
