"participant","amp_recognition_response","condition","IAT_condition","block_order","task_order","gender","age","modern_racism_scale_total","IAT_mean_RT","IAT_perc_acc","IAT_exclude_based_on_fast_trials","AMP_mean_RT","AMP_perc_acc","exclude"
216,"Both white and black faces",8,"Flowers-Insects IAT","incongruent","SCIAT first","female",40,17,835,0.88,FALSE,536,0.78,FALSE
217,"Only black faces",1,"Race IAT","congruent","ratings first","female",57,13,703,0.92,FALSE,433,1,FALSE
220,"Only black faces",4,"Race IAT","incongruent","SCIAT first","female",30,17,610,0.93,FALSE,595,0.4,FALSE
221,"Only black faces",5,"Flowers-Insects IAT","congruent","ratings first","male",45,21,918,0.98,FALSE,402,0.87,FALSE
222,"I don't know",6,"Flowers-Insects IAT","incongruent","ratings first","male",27,23,649,0.89,FALSE,499,0.44,FALSE
224,"I don't know",8,"Flowers-Insects IAT","incongruent","SCIAT first","male",58,20,887,1,FALSE,772,0.6,FALSE
226,"Only black faces",2,"Race IAT","incongruent","ratings first","female",55,19,879,0.96,FALSE,559,0.93,FALSE
229,"I don't know",5,"Flowers-Insects IAT","congruent","ratings first","male",22,16,874,0.97,FALSE,130,0.48,FALSE
230,"Only black faces",6,"Flowers-Insects IAT","incongruent","ratings first","female ",26,13,793,0.96,FALSE,845,0.74,FALSE
231,"Only black faces",7,"Flowers-Insects IAT","congruent","SCIAT first","male",44,23,914,0.93,FALSE,436,0.63,FALSE
236,"Only black faces",4,"Race IAT","incongruent","SCIAT first","male",30,22,732,0.92,FALSE,356,0.49,FALSE
240,"Only black faces",8,"Flowers-Insects IAT","incongruent","SCIAT first","female",23,18,767,0.95,FALSE,544,0.88,FALSE
241,"Only black faces",1,"Race IAT","congruent","ratings first","male",22,19,612,0.91,FALSE,485,0.61,FALSE
242,"Only black faces",2,"Race IAT","incongruent","ratings first","male",37,14,794,0.92,FALSE,651,0.58,FALSE
245,"Both white and black faces",5,"Flowers-Insects IAT","congruent","ratings first","female",22,18,736,0.98,FALSE,570,0.77,FALSE
246,"Only black faces",6,"Flowers-Insects IAT","incongruent","ratings first","female",59,19,876,0.99,FALSE,551,0.69,FALSE
248,"I don't know",8,"Flowers-Insects IAT","incongruent","SCIAT first","female",44,19,806,0.99,FALSE,687,0.6,FALSE
250,"Only black faces",2,"Race IAT","incongruent","ratings first","male",27,24,803,0.9,FALSE,234,0.47,FALSE
253,"Only black faces",5,"Flowers-Insects IAT","congruent","ratings first","male",33,24,816,0.98,FALSE,583,0.24,FALSE
255,"Only black faces",7,"Flowers-Insects IAT","congruent","SCIAT first","male",52,22,771,0.95,FALSE,376,1,FALSE
257,"Only black faces",1,"Race IAT","congruent","ratings first","male",22,14,664,0.96,FALSE,451,0.72,FALSE
258,"Only black faces",2,"Race IAT","incongruent","ratings first","female",33,21,714,0.95,FALSE,567,0.66,FALSE
259,"Only black faces",3,"Race IAT","congruent","SCIAT first","female",31,17,609,0.97,FALSE,563,0.81,FALSE
260,"Only black faces",4,"Race IAT","incongruent","SCIAT first","male",24,18,746,0.96,FALSE,612,0.57,FALSE
263,"I don't know",7,"Flowers-Insects IAT","congruent","SCIAT first","female",48,12,808,0.93,FALSE,544,0.16,FALSE
265,"Only black faces",1,"Race IAT","congruent","ratings first","female",25,15,801,0.93,FALSE,458,0.52,FALSE
266,"Only black faces",2,"Race IAT","incongruent","ratings first","female",50,14,922,0.98,FALSE,865,0.49,FALSE
